#title,HAXPES_TEC10E50E H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10E50E

75.1137,1.52491e+06
75.0637,1.56405e+06
75.0137,1.59425e+06
74.9637,1.64114e+06
74.9137,1.68621e+06
74.8637,1.72223e+06
74.8137,1.75473e+06
74.7637,1.8186e+06
74.7137,1.86677e+06
74.6637,1.91308e+06
74.6137,1.95109e+06
74.5637,2.01773e+06
74.5137,2.03552e+06
74.4637,2.05101e+06
74.4137,2.05834e+06
74.3637,2.05111e+06
74.3137,2.00907e+06
74.2637,1.92801e+06
74.2137,1.83249e+06
74.1637,1.72128e+06
74.1137,1.59799e+06
74.0637,1.48492e+06
74.0137,1.39052e+06
73.9637,1.29941e+06
73.9137,1.23848e+06
73.8637,1.19107e+06
73.8137,1.14403e+06
73.7637,1.11329e+06
73.7137,1.08531e+06
73.6637,1.0682e+06
73.6137,1.05476e+06
73.5637,1.04167e+06
73.5137,1.03758e+06
73.4637,1.03592e+06
73.4137,1.02454e+06
73.3637,1.03089e+06
73.3137,1.03431e+06
73.2637,1.02424e+06
73.2137,1.03559e+06
73.1637,1.04e+06
73.1137,1.04626e+06
73.0637,1.0556e+06
73.0137,1.04611e+06
72.9637,1.05706e+06
72.9137,1.06094e+06
72.8637,1.08538e+06
72.8137,1.09532e+06
72.7637,1.09943e+06
72.7137,1.11775e+06
72.6637,1.12426e+06
72.6137,1.132e+06
72.5637,1.15973e+06
72.5137,1.17785e+06
72.4637,1.19927e+06
72.4137,1.20444e+06
72.3637,1.21589e+06
72.3137,1.25001e+06
72.2637,1.27488e+06
72.2137,1.29497e+06
72.1637,1.31807e+06
72.1137,1.35052e+06
72.0637,1.38126e+06
72.0137,1.41279e+06
71.9637,1.44273e+06
71.9137,1.48608e+06
71.8637,1.51026e+06
71.8137,1.57492e+06
71.7637,1.63246e+06
71.7137,1.65828e+06
71.6637,1.69856e+06
71.6137,1.76664e+06
71.5637,1.82449e+06
71.5137,1.87633e+06
71.4637,1.93608e+06
71.4137,1.99163e+06
71.3637,2.04916e+06
71.3137,2.1028e+06
71.2637,2.13535e+06
71.2137,2.17341e+06
71.1637,2.20725e+06
71.1137,2.22371e+06
71.0637,2.23013e+06
71.0137,2.20636e+06
70.9637,2.16132e+06
70.9137,2.0936e+06
70.8637,1.93963e+06
70.8137,1.786e+06
70.7637,1.6297e+06
70.7137,1.48143e+06
70.6637,1.36183e+06
70.6137,1.2618e+06
70.5637,1.16704e+06
70.5137,1.10133e+06
70.4637,1.0605e+06
70.4137,1.02367e+06
70.3637,996354
70.3137,981637
70.2637,962386
70.2137,939208
70.1637,944302
70.1137,928921
70.0637,918720
70.0137,905328
69.9637,898925
69.9137,907835
69.8637,920881
69.8137,927290
69.7637,914774
69.7137,901329
69.6637,899000
69.6137,908159
69.5637,911514
69.5137,907158
69.4637,900628
69.4137,918991
69.3637,919183
69.3137,916495
69.2637,923847
69.2137,924215
69.1637,915692
69.1137,921925
69.0637,930482
69.0137,933823
68.9637,932950
68.9137,915440
68.8637,931992
68.8137,936565
68.7637,940476
68.7137,942626
68.6637,934981
68.6137,935530
68.5637,944386
68.5137,945344
68.4637,938783
68.4137,945307
68.3637,959986
68.3137,957082
68.2637,947406
68.2137,947574
68.1637,957571
68.1137,953549
68.0637,959804
68.0137,959515
67.9637,955276
67.9137,956728
67.8637,959805
67.8137,962097
67.7637,945622
67.7137,943014
67.6637,950789
67.6137,953111
67.5637,951790
67.5137,945458
67.4637,949651
67.4137,946189
67.3637,941839
67.3137,946859
67.2637,936963
67.2137,929108
67.1637,936257
67.1137,934988
67.0637,918910
67.0137,910764
66.9637,912627
66.9137,914235
66.8637,909906
66.8137,909158
66.7637,891312
66.7137,886776
