530
Dataset measured at BL04B2
15.25 0.597381 0.121805 0.454058 0.424137 
15.3 0.586644 0.121733 0.453994 0.424273 
15.35 0.566067 0.121659 0.453927 0.424414 
15.4 0.522263 0.121582 0.453857 0.424561 
15.45 0.434233 0.121502 0.453785 0.424714 
15.5 0.406862 0.121418 0.45371 0.424872 
15.55 0.397521 0.121333 0.453632 0.425035 
15.6 0.392312 0.121244 0.453552 0.425204 
15.65 0.466884 0.121152 0.45347 0.425378 
15.7 0.500099 0.121057 0.453384 0.425558 
15.75 0.618493 0.12096 0.453296 0.425744 
15.8 0.743986 0.12086 0.453206 0.425935 
15.85 0.882494 0.120756 0.453113 0.426131 
15.9 1.00155 0.12065 0.453017 0.426333 
15.95 1.10465 0.120541 0.452918 0.42654 
16 1.26535 0.12043 0.452817 0.426753 
16.05 1.31468 0.120315 0.452713 0.426971 
16.1 1.17446 0.120198 0.452607 0.427195 
16.15 1.18419 0.120078 0.452498 0.427425 
16.2 1.00358 0.119954 0.452386 0.427659 
16.25 1.13162 0.119829 0.452272 0.4279 
16.3 1.2119 0.1197 0.452154 0.428146 
16.35 1.16158 0.119569 0.452034 0.428397 
16.4 1.37651 0.119435 0.451912 0.428653 
16.45 1.21139 0.119298 0.451787 0.428916 
16.5 1.29709 0.119158 0.451659 0.429183 
16.55 1.25756 0.119016 0.451528 0.429456 
16.6 1.2805 0.118871 0.451395 0.429734 
16.65 1.27218 0.118723 0.451259 0.430018 
16.7 1.21988 0.118573 0.45112 0.430307 
16.75 1.04507 0.118419 0.450979 0.430602 
16.8 0.88736 0.118264 0.450835 0.430902 
16.85 0.7694 0.118105 0.450688 0.431207 
16.9 0.758325 0.117944 0.450538 0.431518 
16.95 0.762638 0.117781 0.450386 0.431834 
17 0.823031 0.117614 0.450231 0.432155 
17.05 0.775003 0.117446 0.450073 0.432481 
17.1 0.856398 0.117274 0.449913 0.432813 
17.15 0.867922 0.1171 0.44975 0.43315 
17.2 0.951752 0.116924 0.449584 0.433492 
17.25 1.07852 0.116745 0.449415 0.43384 
17.3 1.21304 0.116564 0.449244 0.434192 
17.35 1.16116 0.11638 0.44907 0.43455 
17.4 1.1356 0.116193 0.448894 0.434913 
17.45 0.965173 0.116005 0.448714 0.435281 
17.5 0.872628 0.115814 0.448532 0.435654 
17.55 0.859495 0.11562 0.448347 0.436033 
17.6 0.784984 0.115424 0.44816 0.436416 
17.65 0.803293 0.115226 0.44797 0.436804 
17.7 0.728865 0.115026 0.447777 0.437198 
17.75 0.75327 0.114823 0.447581 0.437596 
17.8 0.680389 0.114618 0.447383 0.437999 
17.85 0.661054 0.114411 0.447182 0.438408 
17.9 0.587306 0.114201 0.446978 0.438821 
17.95 0.564918 0.113989 0.446772 0.439239 
18 0.613599 0.113775 0.446563 0.439662 
18.05 0.563707 0.113559 0.446351 0.440089 
18.1 0.709858 0.113341 0.446137 0.440522 
18.15 0.725339 0.113121 0.44592 0.440959 
18.2 0.886963 0.112899 0.4457 0.441401 
18.25 1.0064 0.112674 0.445478 0.441848 
18.3 1.1638 0.112448 0.445253 0.442299 
18.35 1.25563 0.11222 0.445025 0.442755 
18.4 1.3461 0.111989 0.444795 0.443216 
18.45 1.44459 0.111757 0.444562 0.443681 
18.5 1.38699 0.111523 0.444326 0.444151 
18.55 1.29258 0.111287 0.444088 0.444625 
18.6 1.20966 0.111049 0.443847 0.445104 
18.65 1.21481 0.110809 0.443604 0.445587 
18.7 1.18002 0.110568 0.443358 0.446075 
18.75 1.3043 0.110324 0.443109 0.446567 
18.8 1.14135 0.110079 0.442858 0.447063 
18.85 1.22429 0.109832 0.442604 0.447564 
18.9 1.28094 0.109584 0.442347 0.448069 
18.95 1.25183 0.109333 0.442089 0.448578 
19 1.24437 0.109082 0.441827 0.449091 
19.05 1.27593 0.108828 0.441563 0.449609 
19.1 1.06442 0.108573 0.441296 0.450131 
19.15 1.02676 0.108316 0.441027 0.450656 
19.2 0.932969 0.108058 0.440756 0.451186 
19.25 0.93395 0.107799 0.440482 0.45172 
19.3 0.920518 0.107538 0.440205 0.452258 
19.35 0.944873 0.107275 0.439926 0.452799 
19.4 0.896869 0.107011 0.439644 0.453345 
19.45 0.883854 0.106746 0.43936 0.453894 
19.5 0.861794 0.106479 0.439074 0.454448 
19.55 0.918874 0.106211 0.438785 0.455005 
19.6 0.886362 0.105942 0.438493 0.455565 
19.65 0.880088 0.105671 0.438199 0.45613 
19.7 0.927544 0.105399 0.437903 0.456698 
19.75 0.951692 0.105126 0.437604 0.45727 
19.8 1.00453 0.104852 0.437303 0.457845 
19.85 0.935419 0.104576 0.437 0.458424 
19.9 0.954347 0.1043 0.436694 0.459006 
19.95 0.994703 0.104022 0.436386 0.459592 
20 0.967937 0.103743 0.436076 0.460181 
20.05 0.885804 0.103464 0.435763 0.460773 
20.1 0.922777 0.103183 0.435448 0.461369 
20.15 0.869621 0.102901 0.435131 0.461968 
20.2 0.86407 0.102618 0.434811 0.462571 
20.25 0.867196 0.102335 0.434489 0.463176 
20.3 0.837094 0.10205 0.434165 0.463785 
20.35 0.853818 0.101765 0.433839 0.464397 
